Date;Open;High;Low;Close;Adj Close;Volume
19/02/2019;54.430.000;55.910.000;54.320.000;54.500.000;51.754.116;13553400
20/02/2019;55.279.999;55.520.000;52.959.999;52.959.999;50.291.710;16672300
21/02/2019;53.450.001;53.889.999;52.900.002;53.200.001;50.519.611;10342700
22/02/2019;53.200.001;53.500.000;52.580.002;53.090.000;50.982.376;7260200
25/02/2019;53.669.998;53.770.000;52.200.001;52.220.001;50.146.915;10139000
26/02/2019;52.299.999;52.919.998;52.000.000;52.500.000;50.415.802;7287300
27/02/2019;52.470.001;52.689.999;51.849.998;51.900.002;49.839.622;6269600
28/02/2019;52.000.000;52.139.999;50.520.000;50.599.998;48.591.221;11046200
01/03/2019;50.759.998;51.509.998;50.660.000;51.310.001;49.273.041;9272200
06/03/2019;51.430.000;52.130.001;50.500.000;50.599.998;48.591.221;5165800
07/03/2019;50.599.998;50.950.001;50.150.002;50.430.000;48.991.451;8474400
08/03/2019;50.270.000;52.349.998;49.820.000;52.200.001;50.710.964;8093300
11/03/2019;52.340.000;53.799.999;52.330.002;53.799.999;52.265.316;11535700
12/03/2019;53.470.001;53.790.001;52.389.999;53.340.000;51.969.254;8029400
13/03/2019;53.200.001;54.560.001;52.910.000;54.160.000;52.768.181;9579100
14/03/2019;54.000.000;54.099.998;52.900.002;53.750.000;52.368.717;8135600
15/03/2019;53.700.001;54.290.001;53.490.002;54.209.999;52.816.898;12714800
18/03/2019;54.560.001;54.599.998;53.700.001;53.799.999;52.417.431;12096900
19/03/2019;54.000.000;54.049.999;52.529.999;52.650.002;51.296.982;8459700
20/03/2019;52.689.999;52.880.001;51.470.001;51.470.001;50.147.308;13314100
21/03/2019;51.570.000;51.720.001;49.669.998;50.389.999;49.095.058;15800000
22/03/2019;49.279.999;49.290.001;47.500.000;47.650.002;46.425.480;22882400
25/03/2019;47.380.001;48.830.002;47.000.000;47.990.002;46.756.737;13670300
26/03/2019;48.950.001;49.250.000;47.770.000;49.119.999;47.857.693;11781700
27/03/2019;48.250.000;48.250.000;46.400.002;46.400.002;45.207.600;19072500
28/03/2019;46.970.001;48.720.001;46.450.001;48.020.000;46.785.969;21866400
29/03/2019;48.700.001;49.369.999;48.250.000;48.720.001;47.467.979;10937100
01/04/2019;49.389.999;49.720.001;48.900.002;49.200.001;47.935.646;7395200
02/04/2019;49.500.000;49.810.001;48.709.999;48.770.000;47.516.693;10032300
03/04/2019;49.419.998;49.750.000;47.900.002;48.250.000;47.010.056;18510800
04/04/2019;48.700.001;49.200.001;47.849.998;48.830.002;47.575.157;11552000
05/04/2019;49.070.000;49.650.002;48.730.000;49.110.001;47.847.958;7189400
08/04/2019;49.090.000;49.340.000;48.639.999;49.189.999;47.925.900;6250300
09/04/2019;48.889.999;48.889.999;47.910.000;48.450.001;47.204.918;8004200
10/04/2019;48.840.000;49.080.002;48.169.998;48.810.001;47.555.668;8053700
11/04/2019;48.709.999;48.970.001;47.959.999;48.349.998;47.107.487;8555100
12/04/2019;46.849.998;48.349.998;46.299.999;46.730.000;45.529.118;17500900
15/04/2019;47.299.999;47.770.000;46.160.000;46.860.001;45.655.781;12785800
16/04/2019;46.950.001;48.200.001;46.500.000;47.830.002;46.600.853;13271400
17/04/2019;48.099.998;48.669.998;46.849.998;47.200.001;45.987.041;20089500
18/04/2019;47.660.000;49.200.001;47.520.000;48.849.998;47.594.635;16539800
22/04/2019;48.779.999;48.779.999;48.020.000;48.340.000;47.097.744;6259800
23/04/2019;48.980.000;49.349.998;48.669.998;49.310.001;48.042.820;7663900
24/04/2019;49.180.000;49.330.002;47.950.001;48.310.001;47.068.516;10410400
25/04/2019;48.119.999;49.189.999;47.759.998;49.099.998;47.838.211;9829500
26/04/2019;49.000.000;49.560.001;48.700.001;49.349.998;48.081.787;8634100
29/04/2019;49.599.998;50.299.999;48.450.001;49.369.999;48.101.276;16781300
30/04/2019;49.560.001;49.860.001;49.139.999;49.680.000;48.403.309;8149000
02/05/2019;49.299.999;49.900.002;49.080.002;49.790.001;48.510.483;8547800
03/05/2019;49.910.000;50.240.002;49.750.000;50.080.002;48.793.030;8131400
06/05/2019;49.470.001;49.669.998;49.180.000;49.369.999;48.101.276;6314800
07/05/2019;49.080.002;49.680.000;48.220.001;49.490.002;48.218.189;10846100
08/05/2019;49.500.000;50.840.000;49.500.000;50.590.000;49.289.921;14459600
09/05/2019;50.910.000;51.259.998;50.119.999;51.029.999;49.718.620;15377500
10/05/2019;51.099.998;51.189.999;49.860.001;50.160.000;48.870.972;8975300
13/05/2019;48.709.999;49.389.999;48.340.000;48.369.999;47.126.972;10248300
14/05/2019;48.900.002;48.980.000;47.560.001;47.900.002;46.669.052;9642400
15/05/2019;47.500.000;47.619.999;46.630.001;47.110.001;45.899.349;10443800
16/05/2019;46.799.999;46.849.998;45.410.000;45.639.999;44.467.129;14672800
17/05/2019;45.450.001;46.459.999;44.549.999;44.849.998;43.697.430;14360100
20/05/2019;45.150.002;46.840.000;44.910.000;46.570.000;45.373.230;13086100
21/05/2019;46.910.000;49.380.001;46.910.000;49.230.000;47.964.870;14208300
22/05/2019;49.299.999;49.500.000;48.400.002;48.820.000;47.969.624;8206200
23/05/2019;48.570.000;49.360.001;48.270.000;48.900.002;48.048.237;8934600
24/05/2019;49.380.001;49.799.999;49.049.999;49.619.999;48.755.692;9273900
27/05/2019;49.990.002;50.980.000;49.990.002;50.590.000;49.708.794;7641500
28/05/2019;50.689.999;51.849.998;50.459.999;51.250.000;50.357.300;15991100
29/05/2019;50.930.000;51.680.000;50.630.001;51.200.001;50.308.174;11061200
30/05/2019;51.099.998;52.000.000;51.060.001;51.950.001;51.045.105;9018800
31/05/2019;51.700.001;52.580.002;51.130.001;51.849.998;50.946.846;10164600
03/06/2019;52.220.001;52.549.999;51.650.002;52.090.000;51.182.671;7692400
04/06/2019;52.299.999;52.939.999;52.020.000;52.939.999;52.017.864;11404900
05/06/2019;52.860.001;52.939.999;51.189.999;51.480.000;50.583.294;9256500
06/06/2019;52.070.000;52.860.001;51.450.001;52.790.001;51.870.476;7979900
07/06/2019;52.910.000;53.119.999;52.360.001;52.360.001;51.447.964;6909100
10/06/2019;52.049.999;52.200.001;50.970.001;51.869.999;50.966.499;9141300
11/06/2019;52.400.002;52.900.002;51.840.000;52.900.002;51.978.561;13132800
12/06/2019;52.880.001;53.000.000;51.919.998;52.259.998;51.516.285;8819600
13/06/2019;52.250.000;52.669.998;51.270.000;51.430.000;50.698.097;15531800
14/06/2019;51.340.000;51.500.000;49.939.999;50.520.000;49.801.048;13100600
